                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.95567,                0.49273,                 0.9549,                0.96642,                0.98077,                0.97421,                0.65586,                0.98325,                0.41585,                0.95125,             0.00084184,             0.00084184,             0.00084184
                     82,                0.89292,                0.49329,                0.95671,                 0.9937,                0.99259,                  0.995,                0.63249,                 1.0678,                0.46284,                0.97409,             0.00083152,             0.00083152,             0.00083152
                     83,                0.95017,                0.50658,                0.95844,                0.99414,                0.99252,                  0.995,                 0.6559,                0.96075,                0.46131,                0.95025,             0.00082121,             0.00082121,             0.00082121
                     84,                0.92737,                0.47204,                0.94031,                0.98507,                      1,                  0.995,                 0.6666,                0.95199,                0.42165,                0.94267,             0.00081089,             0.00081089,             0.00081089
                     85,                0.94572,                0.50769,                0.96037,                0.98885,                      1,                  0.995,                0.65991,                0.95738,                0.42343,                0.94979,             0.00080058,             0.00080058,             0.00080058
                     86,                0.92428,                0.48118,                0.95665,                0.99167,                0.99669,                  0.995,                0.65695,                0.92507,                0.42052,                 0.9326,             0.00079026,             0.00079026,             0.00079026
                     87,                0.93981,                0.49737,                0.96517,                0.93751,                0.98077,                0.96525,                0.64664,                0.93633,                0.44278,                0.93149,             0.00077995,             0.00077995,             0.00077995
                     88,                0.88007,                0.46517,                0.93267,                0.99158,                0.98077,                0.99393,                 0.6676,                0.93126,                0.45733,                0.93907,             0.00076963,             0.00076963,             0.00076963
                     89,                0.91457,                0.47436,                0.94853,                0.99313,                0.97549,                0.99444,                0.68842,                 0.9199,                0.41552,                0.93315,             0.00075932,             0.00075932,             0.00075932
                     90,                0.90525,                0.47973,                0.95639,                 0.9891,                0.98077,                0.99393,                0.65117,                0.99773,                0.41427,                0.95597,               0.000749,               0.000749,               0.000749
                     91,                0.88259,                0.46329,                0.93361,                0.98219,                0.98077,                0.99393,                 0.6547,                0.95593,                0.42601,                0.94046,             0.00073869,             0.00073869,             0.00073869
                     92,                 0.8814,                0.47512,                  0.939,                0.97461,                0.99561,                 0.9937,                0.68087,                0.90191,                0.40466,                0.91999,             0.00072837,             0.00072837,             0.00072837
                     93,                0.90707,                0.47439,                0.94726,                 0.9933,                0.97889,                0.99393,                0.65702,                0.97153,                0.40832,                0.93394,             0.00071806,             0.00071806,             0.00071806
                     94,                0.94195,                0.46716,                0.97169,                0.99152,                 0.9961,                  0.995,                0.65541,                0.96213,                0.39849,                0.93728,             0.00070775,             0.00070775,             0.00070775
                     95,                0.91939,                0.47787,                0.95732,                0.96531,                0.98077,                0.99146,                0.62262,                0.98657,                0.42966,                0.94297,             0.00069743,             0.00069743,             0.00069743
                     96,                0.93735,                 0.4996,                0.96262,                0.98966,                0.99724,                  0.995,                0.64692,                0.94739,                0.42322,                0.93427,             0.00068712,             0.00068712,             0.00068712
                     97,                0.91422,                0.46025,                0.95104,                0.99078,                0.98077,                  0.993,                0.64317,                0.98733,                0.43976,                0.95554,              0.0006768,              0.0006768,              0.0006768
                     98,                0.91332,                  0.465,                0.95553,                0.98195,                0.98077,                0.99345,                0.65905,                 0.9766,                0.42166,                 0.9454,             0.00066649,             0.00066649,             0.00066649
                     99,                0.90089,                0.45799,                0.94826,                0.97193,                0.98077,                0.99316,                0.65075,                0.94544,                0.41682,                0.93175,             0.00065617,             0.00065617,             0.00065617
                    100,                0.91172,                0.47618,                0.93878,                0.97281,                0.96154,                0.97187,                0.63917,                0.95042,                0.41211,                 0.9316,             0.00064586,             0.00064586,             0.00064586
                    101,                0.86449,                0.45898,                0.93395,                0.97638,                0.96154,                0.99071,                0.66053,                0.96672,                0.42869,                0.93036,             0.00063554,             0.00063554,             0.00063554
                    102,                0.87506,                0.46075,                0.93693,                0.99183,                0.99952,                  0.995,                0.65731,                0.97983,                0.43949,                0.94419,             0.00062523,             0.00062523,             0.00062523
                    103,                0.84458,                  0.438,                0.93489,                0.97308,                0.99647,                 0.9937,                0.65786,                0.89737,                0.39481,                0.91076,             0.00061491,             0.00061491,             0.00061491
                    104,                0.88057,                0.45473,                0.94719,                0.98962,                      1,                  0.995,                0.66103,                0.90325,                0.40146,                0.92265,              0.0006046,              0.0006046,              0.0006046
                    105,                0.87436,                0.44699,                 0.9432,                0.96996,                0.99766,                0.99296,                0.66863,                0.93286,                0.40149,                0.92749,             0.00059429,             0.00059429,             0.00059429
                    106,                0.84016,                 0.4328,                0.92247,                0.95347,                0.97767,                0.97451,                 0.6556,                0.97368,                0.41411,                0.94575,             0.00058397,             0.00058397,             0.00058397
                    107,                0.89398,                0.45716,                0.95111,                0.95887,                      1,                 0.9937,                0.68362,                 0.9074,                0.39878,                0.91912,             0.00057366,             0.00057366,             0.00057366
                    108,                0.86415,                0.44768,                0.92923,                0.98625,                      1,                  0.995,                0.68222,                 0.9266,                0.40604,                0.92866,             0.00056334,             0.00056334,             0.00056334
